filename,speaker,type,subtype,command,duration_sec,sample_rate,sha256
S1_LEG_C1_01.wav,S1,LEG,legitimate,C1,3.775,16000,4940b41c39ce8d548c3959b439b91058c5de1a7a2897b936c319bf19d87d67e3
S1_LEG_C1_02.wav,S1,LEG,legitimate,C1,5.481,16000,556fbd6b69ecdc64de4cab20be0e08731c12c8ab5847337d378bf239ea6e4394
S1_LEG_C1_03.wav,S1,LEG,legitimate,C1,5.481,16000,49e11d50b700357212530174793dac8a28866f8b266d9feea4fe907f6136a08e
S1_LEG_C1_04.wav,S1,LEG,legitimate,C1,5.396,16000,1521a20e0c5ef25205e23717415faa68e69688be736f98b63ecbc637facf8565
S1_LEG_C1_05.wav,S1,LEG,legitimate,C1,3.775,16000,4940b41c39ce8d548c3959b439b91058c5de1a7a2897b936c319bf19d87d67e3
S1_LEG_C1_06.wav,S1,LEG,legitimate,C1,4.457,16000,7adb679b3eb62b46a04a1d952dc7786eae3d9562dee4a9ee21cd7ec09fb69ddd
S1_LEG_C1_07.wav,S1,LEG,legitimate,C1,5.225,16000,314109e45a0deddf3205a30f791fed09de70f86e5f69ac0fbc2ae164fbc521f9
S1_LEG_C1_08.wav,S1,LEG,legitimate,C1,4.969,16000,f1bf70e164551034baf2afbae0d9aad449ffca37b758a24c2fbbb1f1df5ec81e
S1_LEG_C1_09.wav,S1,LEG,legitimate,C1,4.884,16000,fc5ca0e8acb9324d77aa671ccb067e0f7094d8a1d6e6207ec8d8aa19014fc33b
S1_LEG_C1_10.wav,S1,LEG,legitimate,C1,5.396,16000,b10aaabda5256a76d8f85932a4b511ca2cfea79918ec28436d8aa78458af56c6
S1_LEG_C1_11.wav,S1,LEG,legitimate,C1,5.311,16000,580c71c1a28d74107f7df6b882467457103b1e2c6ff84d7a5a54e93cb0c0e946
S1_LEG_C1_12.wav,S1,LEG,legitimate,C1,5.993,16000,11312607d2f9964ea4d672032191f572533a149b97d098f7d1f8dcc394af80d6
S1_LEG_C1_13.wav,S1,LEG,legitimate,C1,5.908,16000,581f85ba8f40cc1e8f606e0b77d24d8d7d28def8daaaae225bffc34c98c5ece1
S1_LEG_C1_14.wav,S1,LEG,legitimate,C1,4.543,16000,6f4716d762aa6b9772e6af1d7f7f3f23ed4fb4151bb141356c818967803c3d27
S1_LEG_C1_15.wav,S1,LEG,legitimate,C1,4.799,16000,c329bf372a85711b403f40c6314c422204ffb869ff64345a60bb548ef65630a8
S1_LEG_C2_01.wav,S1,LEG,legitimate,C2,4.799,16000,bc6131411bf7e1c439e84af72be9200017ba41601ea0af50f48940bf8e7c2a7c
